split,group_column,group_value,row_count,mae,rmse,mean_error,median_absolute_error,p90_absolute_error,total_error_contribution
test,Direction,W,15470,7.958824857160131,18.708946964565573,-3.2755773605630716,3.3890395164489746,15.921080017089844,123123.02054026723
test,Direction,E,16010,7.61170420819413,17.235622981132725,-3.024737271400335,3.388188600540161,15.45552673339844,121863.38437318802
test,Direction,Unknown,11470,9.892886814275553,23.57167674637308,-3.961437874997437,4.342679023742676,18.760905075073243,113471.41175974059
test,Direction,N,15175,7.384198633862485,17.557935350659083,-2.651017163624677,3.0986151695251465,14.828225898742678,112055.2142688632
test,Direction,S,14982,7.072119766080703,16.812487296938436,-2.4186292795588473,2.9404067993164062,14.275705432891844,105954.49833542109
test,Direction,B,27,39.9864040657326,57.78124074252409,-23.266789189091437,21.048316955566406,98.91423263549815,1079.6329097747803
test,Incident,Diversion,5527,39.12431725787927,57.614837590228774,-20.40754431152896,24.136581420898438,99.17200317382816,216240.10148429874
test,Incident,Mechanical,21566,3.8425529682740183,6.656055831569674,-1.596894613856079,2.3470776081085205,8.659643650054932,82868.49731379747
test,Incident,General Delay,5843,9.646897691055742,15.392723484671029,3.0978465515386358,8.564043998718262,15.981454849243164,56366.8232088387
test,Incident,Security,6813,6.599157664356402,12.3034030150465,-2.1910964304951874,4.394406318664551,13.218930816650392,44960.061167260166
test,Incident,Operations - Operator,10185,4.3574770369773175,6.881096268654519,-1.3557074562497857,2.6680774688720703,10.207461929321292,44380.90362161398
test,Incident,Emergency Services,4697,6.9727678894572325,11.57640491242231,-3.8821004215788117,4.476149082183838,15.281931495666505,32751.09077678062
test,Incident,Collision - TTC,4339,4.129390832930366,6.967082064506972,-1.5188871867033913,2.4061927795410156,9.763232040405274,17917.426824084858
test,Incident,Cleaning - Unsanitary,3719,3.7023064939765464,6.882664574609666,-1.7997153230125655,2.0098519325256348,8.743787384033205,13768.877851098776
test,Incident,Utilized Off Route,3036,4.045628308975021,10.153521555223985,-2.0443250949596385,2.2527756690979004,8.765160083770752,12282.527546048164
test,Incident,Operations,2280,5.2910004292271635,12.139575487257927,-3.669609057733364,2.3354518413543697,11.559248733520509,12063.480978637932
test,Incident,Held By,739,14.047509519108578,26.884493075064704,-6.719363803147302,6.355101585388184,36.42458362579347,10381.109534621239
test,Incident,Collision - TTC Involved,675,15.294543030416524,29.226552737936885,-9.683953675274497,5.363083839416504,47.124872589111334,10323.816545531154
test,Incident,Vision,1935,4.170148733111931,6.320323729913892,-2.0838921440356155,2.5376415252685565,10.010281944274906,8069.2377985715875
test,Incident,Investigation,1393,5.602927052003397,11.150363871266014,-1.7551866170962938,3.107823371887207,11.871281051635732,7804.877383440733
test,Incident,Road Blocked - NON-TTC Collision,183,23.88310915003709,29.78887808491972,6.079043779216829,20.21161651611328,39.823476409912125,4370.608974456787
test,Incident,Rail/Switches,146,11.177933643125508,22.111119022171927,-1.3480385533750874,8.28477430343628,14.815018653869629,1631.9783118963242
test,Incident,Overhead,58,23.54729079789129,38.66350318578995,-10.499125912271698,12.847425937652588,71.91458320617677,1365.7428662776947
test,Location,KENNEDY STATION,1801,4.765628262058414,8.658035662673043,-2.214589837823748,3.0465011596679688,10.513498306274414,8582.896499967203
test,Location,EGLINTON STATION,972,5.751163945675142,12.329179507743603,-2.076646773014294,3.4751548767089844,11.999228858947754,5590.131355196238
test,Location,KIPLING STATION,1174,4.090906763008242,8.380171587406807,-1.2874370567513285,2.4834712743759155,9.382350444793701,4802.724539771676
test,Location,WILSON STATION,891,4.855059250704233,8.795272622899164,-1.206063575616188,2.3963260650634766,11.688409805297852,4325.857792377472
test,Location,FINCH STATION,873,4.2885626382178454,6.502729709105752,-0.9827562562634855,2.6650352478027344,10.096871852874756,3743.915183164179
test,Location,DUNDAS WEST STATION,478,7.667059298090356,16.8700530295534,-4.391860567625597,3.7083344459533683,15.638701105117802,3664.8543444871902
test,Location,WARDEN STATION,593,5.929597386898721,10.045960303033393,-1.9437538959575946,3.98614501953125,12.168015480041504,3516.2512504309416
test,Location,BROADVIEW STATION,689,4.7605606082215886,10.285734429915008,-2.0562588625272578,2.2298288345336914,9.658409500122074,3280.0262590646744
test,Location,PIONEER VILLAGE STATIO,738,3.9002800917399285,7.9696303101128825,-0.10837069557611212,2.05428409576416,8.555555915832528,2878.4067077040672
test,Location,YORK MILLS STATION,532,4.992247670384726,7.443702479416626,-0.653281304116984,2.8734164237976074,11.907909393310545,2655.8757606446743
test,Location,EGLINTON WEST STATION,482,5.505997445326129,8.866876810488977,-2.9338329501171825,2.4325647354125977,16.541863918304447,2653.890768647194
test,Location,SCARBOROUGH CENTRE STATION,565,4.395665293035254,6.456537452047533,-2.420133563164061,3.0551042556762695,9.73447952270508,2483.5508905649185
test,Location,DON MILLS STATION,477,5.202252940499307,7.401127418124238,-2.266039066906995,3.3895883560180664,11.136987113952637,2481.47465261817
test,Location,SHEPPARD WEST STATION,385,5.387290057578644,7.134676198988824,-2.091870777328293,4.080962181091309,11.574327468872072,2074.106672167778
test,Location,KING AND CHURCH,123,16.26539348586788,35.4376101307687,-7.114306818178998,7.758109092712402,29.67721138000488,2000.643398761749
test,Location,SPADINA STATION,349,5.482083474197839,12.15248416842822,-1.4469652858624145,3.0271334648132324,10.800668334960934,1913.2471324950457
test,Location,MAIN STREET STATION,396,4.412303626386806,7.202004994443722,-1.4557259439518957,2.2509865760803223,10.911481380462646,1747.2722360491753
test,Location,VICTORIA PARK STATION,343,5.045679377896967,8.720070687267103,-2.647073777202441,2.2462053298950195,12.805392837524415,1730.6680266186597
test,Location,STREET CLAIR STATION,231,7.400669494748632,11.973896495930738,-3.3078097383697314,3.482468605041504,18.096922874450684,1709.554653286934
test,Location,EXHIBITION LOOP,204,8.052798374026429,21.338325567308544,-1.1132072046691297,2.9223859310150146,14.51871404647833,1642.7708683013914
test,Location,FRONT AND BAY,153,10.490943015790453,25.167477534299806,-1.3770803766312942,5.166184425354004,19.48405532836914,1605.1142814159393
test,Location,BATHURST STATION,366,4.247093614129747,9.636720728119723,-1.276211900667089,1.9480886459350586,9.190489768981934,1554.4362627714872
test,Location,LONG BRANCH LOOP,146,10.346833868794246,19.595318342115075,-5.934254023310256,5.461747884750366,22.591376066207886,1510.6377448439598
test,Location,ISLINGTON STATION,263,5.56139261448338,7.7687786603418925,-2.5571788679737555,3.5851087570190447,12.230765724182131,1462.646257609129
test,Location,RUNNYMEDE STATION,174,8.399362586010461,12.775871046728126,-3.4196166882569763,6.128566265106202,14.368797397613527,1461.4890899658203
test,Location,QUEEN AND LESLIE,168,8.590520131446066,15.909822115139605,0.534145672406469,4.965297698974609,18.551605606079125,1443.2073820829391
test,Location,KEELE STATION,400,3.59653351098299,5.737328864433245,-0.2732684043049812,2.371062755584717,8.17316160202027,1438.613404393196
test,Location,JANE AND WILSON,131,10.49285352412071,29.05741053182427,-6.682556125953908,3.1411476135253906,14.303053855895996,1374.563811659813
test,Location,LAWRENCE AND JANE,150,8.603956311146419,20.505970321917573,-4.012790864706039,4.6806068420410165,14.173877811431888,1290.5934466719627
test,Location,ROYAL YORK STATION,243,5.2614899775618875,6.9468448011787425,-2.8275642007466697,4.192007064819336,10.472335052490234,1278.5420645475388
test,Location,HUMBER LOOP,195,6.452593931479332,13.096920732258369,-2.4115590893305265,3.161513328552246,12.622535324096676,1258.2558166384697
test,Location,QUEEN AND RONCESVALLES,112,11.038143783408616,25.138051797967105,-6.227823125863714,5.292877674102783,20.157010698318487,1236.272103741765
test,Location,PAPE STATION,180,6.857279830839899,19.985661210277776,-1.589910297592481,3.182178020477295,9.204239082336427,1234.3103695511818
test,Location,LAWRENCE WEST STATION,183,6.610527128795457,9.155817043522593,-1.948507093666681,4.722563743591309,15.945716857910163,1209.7264645695686
test,Location,OSSINGTON STATION,224,5.290661664147462,12.422859231555808,-0.888862510610904,2.9317188262939453,9.350397777557376,1185.1082127690315
test,Location,FINCH WEST STATION,416,2.831699661194132,5.4613088926332445,-0.7271387704576437,1.2770278453826904,7.326206922531128,1177.9870590567589
test,Location,ELLESMERE AND KENNEDY,114,10.100183545497426,30.593682678432753,-5.383923145762661,2.3613924980163574,12.250659275054934,1151.4209241867065
test,Location,BIRCHMOUNT GARAGE,191,5.925766064975586,7.941980385819921,-3.1723653644869465,4.250365257263184,12.365873336791992,1131.821318410337
test,Location,DAVISVILLE STATION,127,8.776341271682048,17.232859614587902,-4.530572119190937,7.173883438110352,14.51103324890137,1114.5953415036201
test,Location,WOLSELEY LOOP,154,6.962601438745276,23.870734038759654,-3.5755066128520223,2.0730679035186768,10.500728225708043,1072.2406215667725
test,Location,MOUNT DENNIS GARAGE,206,5.117020602649964,11.861984065066267,-0.08093200407433998,2.5639266967773438,9.878362655639648,1054.1062441458926
test,Location,QUEEN AND BROADVIEW,103,10.052169355373938,19.682832669369112,-3.9989718927920443,3.543217658996582,23.08517665863036,1035.3734436035156
test,Location,STREET CLAIR WEST STATION,107,9.514570689089945,21.939429828017847,-4.831675263765816,4.33367919921875,15.537482452392581,1018.0590637326242
test,Location,CASTLE FRANK STATION,196,5.056947647917028,7.137753978410604,-0.9882533033283389,4.520999908447266,8.909997463226318,991.1617389917374
test,Location,WILSON AND JANE,126,7.64710597575657,20.29078476011561,-4.208315998788864,2.772869110107422,11.656802654266357,963.5353529453278
test,Location,JANE AND TRETHEWEY,140,6.858143394333975,21.660943941599342,-4.29605462551117,1.9133062362670898,5.977993488311767,960.1400752067566
test,Location,SPRINGHURST LOOP,114,8.305406370183878,24.324710831278143,-5.449016583070421,1.581362247467041,17.489768314361577,946.8163262009621
test,Location,JANE STATION,258,3.568276527778123,5.251445305117119,-0.6826564244521681,2.3353524208068848,8.977624702453614,920.6153441667557
test,Location,COXWELL STATION,211,4.356109458970797,6.34056938561512,2.2211805200689776,2.6637773513793963,9.79884910583496,919.1390958428383
test,Location,YORKDALE STATION,136,6.719006889006671,15.96514045044821,-2.6018850522882797,4.137835502624512,9.753490447998049,913.7849369049072
test,Location,KINGSTON LOOP,174,5.110902921797108,6.922815348949073,0.19978725625169946,3.8817986249923706,7.712338876724246,889.2971083926968
test,Location,SUNNYSIDE LOOP,146,5.973080109243524,9.978954036574246,0.1764636072393966,4.57217001914978,12.367571830749512,872.0696959495544
test,Location,WOODBINE STATION,115,7.50329069054645,9.268850990559192,-3.4448556900024414,7.113056182861328,14.560370826721197,862.8784294128418
test,Location,MARKHAM AND SHEPPARD,125,6.777842594146729,10.597442558577642,-0.24829380416870117,4.69175910949707,14.09928016662598,847.2303242683411
test,Location,BATHURST AND WILSON,143,5.8718622080929626,21.30105730743165,-3.5885797413912686,1.1799430847167969,7.9033672332763665,839.6762957572937
test,Location,WILSON GARAGE,155,5.229992970970887,9.941967942039879,-2.2940843729698477,2.5273070335388184,12.358880174160003,810.6489105004874
test,Location,RENFORTH STATION,158,5.023304604276826,16.982776443981805,-3.2971182080763803,1.4881296157836914,10.015557956695567,793.6821274757385
test,Location,RONCESVALLES YARD,132,5.646384879890265,9.854479005431527,-1.3857101934087095,3.0548903942108154,10.846618270874028,745.322804145515
