split,threshold_minutes,group_column,group_value,row_count,actual_severe_delay_rate,mean_predicted_severe_delay_probability,probability_calibration_gap,false_negative_rate
test,30,Direction,B,27,0.5185185185185185,0.5596379307271154,0.04111941220859694,0.0
test,30,Direction,Unknown,11470,0.10714908456843941,0.13383765014537238,0.02668856557693297,0.21969080553295361
test,30,Direction,W,15470,0.10581771170006464,0.11824138792550447,0.012423676225439828,0.30788026878436164
test,30,Direction,E,16010,0.10106183635227982,0.11575466895228462,0.014692832600004799,0.3238566131025958
test,30,Direction,N,15175,0.0986490939044481,0.1136141117048316,0.014965017800383493,0.2852371409485638
test,30,Direction,S,14982,0.09377920170871713,0.11269746149184015,0.018918259783123018,0.2775800711743772
test,30,Incident,Diversion,5527,0.5778903564320608,0.650447543984795,0.07255718755273421,0.00031308703819661864
test,30,Incident,Road Blocked - NON-TTC Collision,183,0.33879781420765026,0.598258408610938,0.2594605944032878,0.0
test,30,Incident,Overhead,58,0.25862068965517243,0.23370369494860543,-0.024916994706566997,0.13333333333333333
test,30,Incident,Collision - TTC Involved,675,0.22814814814814816,0.1635197892923046,-0.06462835885584356,0.5909090909090909
test,30,Incident,Held By,739,0.19215155615696888,0.1926070826785974,0.0004555265216285298,0.4154929577464789
test,30,Incident,Operations - Operator,10185,0.08453608247422681,0.07937699616001982,-0.005159086314206987,0.45993031358885017
test,30,Incident,Emergency Services,4697,0.07707047051309346,0.09197136405847481,0.01490089354538135,0.6298342541436464
test,30,Incident,Vision,1935,0.07545219638242893,0.08436162909649271,0.008909432714063775,0.3835616438356164
test,30,Incident,Security,6813,0.0685454278585058,0.08423219007623356,0.01568676221772776,0.5674518201284796
test,30,Incident,Rail/Switches,146,0.0684931506849315,0.08186920464345035,0.013376053958518846,0.8
test,30,Incident,Investigation,1393,0.06460875807609476,0.1024534244813046,0.03784466640520984,0.4444444444444444
test,30,Incident,Operations,2280,0.05570175438596491,0.02552626159158529,-0.030175492794379623,0.968503937007874
test,30,Incident,General Delay,5843,0.052541502652746874,0.12757450168617304,0.07503299903342617,0.50814332247557
test,30,Incident,Cleaning - Unsanitary,3719,0.050820112933584294,0.08193602776308882,0.03111591482950453,0.47619047619047616
test,30,Incident,Collision - TTC,4339,0.04655450564646232,0.05650463860914901,0.009950132962686695,0.3811881188118812
test,30,Incident,Mechanical,21566,0.04521005286098488,0.05097893764362733,0.005768884782642446,0.46564102564102566
test,30,Incident,Utilized Off Route,3036,0.03194993412384717,0.029399990625860423,-0.0025499434979867446,0.711340206185567
test,30,Location,RUNNYMEDE STATION,174,0.23563218390804597,0.13910385518035065,-0.09652832872769532,0.6585365853658537
test,30,Location,QUEEN AND BROADVIEW,103,0.18446601941747573,0.2242421194350401,0.039776100017564375,0.10526315789473684
test,30,Location,WOODBINE STATION,115,0.17391304347826086,0.09854617797688618,-0.07536686550137468,0.35
test,30,Location,LONG BRANCH LOOP,146,0.17123287671232876,0.14016951426659544,-0.031063362445733322,0.52
test,30,Location,KING AND CHURCH,123,0.17073170731707318,0.20742057890790264,0.03668887159082945,0.14285714285714285
test,30,Location,STREET CLAIR WEST STATION,107,0.16822429906542055,0.22764605127066095,0.0594217522052404,0.2777777777777778
test,30,Location,STREET CLAIR STATION,231,0.15151515151515152,0.16714726627433424,0.01563211475918272,0.2571428571428571
